"Id","Iteration","State","EstadoADO","Title","Modulo","Criterios","EvidenciaUIUX","CriteriosDEV_o_Backend","ResumenCriterios"
"10148","Quantify\Iteration 1","Closed","Implementada (cerrada en ADO)","Proveedor: Bandeja todos los proveedores","Providers","15","Sí","No","La bandeja muestra en cada fila: Estado (Active, Disabled, Cancelled, Draft) con etiqueta de color, Provider Type, Provider Name, Vendor ID. La lista soporta hasta 100 filas por pÃ¡gina con paginaciÃ³n. La informaciÃ³n es de solo lectura. F"
"10149","Quantify\Iteration 1","Active","En progreso (Active)","Proveedor: Visualizar perfil Solo lectura","Providers","6","Sí","No","AcciÃ³n View Provider desde la bandeja abre el perfil en modo lectura. Todos los tabs en solo lectura: Personal Information, Address, Banking, Documents, Contracts, Resources. Badge de estado visible en el header (Active, Disabled, Cancelle"
"10157","Quantify\Iteration 1","Closed","Implementada (cerrada en ADO)","Factura: Crear nueva factura","Bill/Invoices","10","No","Parcial/Posible DEV","BotÃ³n Create Bill disponible en la parte superior. Al hacer clic, se abre el formulario en estado Creada, asociada automÃ¡ticamente al proveedor logueado. Period: obligatorio, mes/aÃ±o, valida que no estÃ© cerrado o fuera de rango. Company"
"10158","Quantify\Iteration 1","ResolvedUS","Pendiente","Factura: Adjuntar documentos a la factura","Bill/Invoices","3","No","No","BotÃ³n Upload Document disponible. Tipos permitidos: PDF, DOCX, JPG/PNG, mÃ¡x. 10MB. Campo Document Type obligatorio (ej. Signed Contract, Receipt). OpciÃ³n Add para mÃºltiples documentos, con Ã­cono de remover por lÃ­nea (no visible en el "
"10159","Quantify\Iteration 1","Closed","Implementada (cerrada en ADO)","Factura: Bandeja de facturas del proveedor","Providers","3","Sí","No","Cada fila muestra: Estado de la factura (Creada, Sometida, TardÃ­a, Revisada, Registrada, Rechazada, Cancelada, Aprobada, Pagada), Company, Bill Number, Deadline to Submit (con conteo de dÃ­as), Period, Amount. Etiquetas de color: Creada (g"
"10160","Quantify\Iteration 1","Closed","Implementada (cerrada en ADO)","Factura: Motor de estados y transiciones","Bill/Invoices","4","No","Parcial/Posible DEV","Estados soportados: Creada, Sometida, TardÃ­a, Revisada, Registrada, Rechazada, Cancelada, Aprobada, Pagada. Transiciones vÃ¡lidas: Creada a Sometida/TardÃ­a (Submit), Sometida/TardÃ­a a Revisada o Rechazada (Revisor), Revisada a Registrada"
"10164","Quantify\Iteration 1","Closed","Implementada (cerrada en ADO)","Factura: Marcar TardÃ­a Fecha lÃ­mite","Bill/Invoices","6","No","Parcial/Posible DEV","Fecha lÃ­mite por defecto dÃ­a 5 de cada mes (parametrizable por Administrador de OrganizaciÃ³n). Si Submit ocurre despuÃ©s de la fecha lÃ­mite, el estado pasa a TardÃ­a. Antes de confirmar, mostrar advertencia: &quot;La factura se estÃ¡ so"
"10166","Quantify\Iteration 1","Closed","Implementada (cerrada en ADO)","Factura: Visualizar factura despuÃ©s de envÃ­o","Bill/Invoices","6","No","No","Al hacer Submit exitoso, mostrar: &quot;The invoice was successfully created&quot;, y el estado Sometida en naranja. Header con Period, Company, Deadline to Submit con contador, Contract asociado y su estado, Bill Status. Detalle con todas "
"10167","Quantify\Iteration 1","ResolvedUS","Pendiente","Factura: Editar factura Estados Creada Rechazada","Bill/Invoices","5","No","Parcial/Posible DEV","BotÃ³n Edit solo si el estado es Creada o Rechazada; en otros estados, solo lectura. Campos prellenados; documentos con opciÃ³n de eliminar o agregar. Al Save, se mantiene el estado (Creada o Rechazada); al Submit, pasa a Sometida o TardÃ­a"
"10169","Quantify\Iteration 1","Closed","Implementada (cerrada en ADO)","Factura: Bandeja Filtros bÃ¡sicos y avanzados","Bill/Invoices","5","No","No","Filtros bÃ¡sicos: nÃºmero de factura , fecha de servicio (rango), compaÃ±Ã­as, estado. Filtros avanzados combinables: proyecto, motivo de rechazo (solo proveedor). Filtros combinables en AND; botÃ³n Clear filters; se mantienen al paginar. S"
